 frequency              input_noise_VrtHz      output_noise_VrtHz    
 1.380384264602880e-01  2.962009025467159e-06  7.756809759661068e-02 
 1.412537544622749e-01  2.927514802279680e-06  7.666477432326306e-02 
 1.445439770745922e-01  2.893427613411100e-06  7.577211032467443e-02 
 1.479108388168202e-01  2.859742590935510e-06  7.488997815348986e-02 
 1.513561248436203e-01  2.826454925922359e-06  7.401825180975748e-02 
 1.548816618912476e-01  2.793559867709477e-06  7.315680685407998e-02 
 1.584893192461108e-01  2.761052723190014e-06  7.230552054336631e-02 
 1.621810097358924e-01  2.728928856106035e-06  7.146427136867503e-02 
 1.659586907437555e-01  2.697183686352894e-06  7.063293935707043e-02 
 1.698243652461738e-01  2.665812689288309e-06  6.981140604984670e-02 
 1.737800828749369e-01  2.634811395054702e-06  6.899955436186368e-02 
 1.778279410038916e-01  2.604175387906309e-06  6.819726871490817e-02 
 1.819700858609977e-01  2.573900305546872e-06  6.740443484025700e-02 
 1.862087136662861e-01  2.543981838474386e-06  6.662093985311890e-02 
 1.905460717963240e-01  2.514415729333481e-06  6.584667234954462e-02 
 1.949844599758038e-01  2.485197772278957e-06  6.508152212978134e-02 
 1.995262314968872e-01  2.456323812342179e-06  6.432538030125111e-02 
 2.041737944669521e-01  2.427789744809444e-06  6.357813956627104e-02 
 2.089296130854031e-01  2.399591514606823e-06  6.283969353760990e-02 
 2.137962089502223e-01  2.371725115690682e-06  6.210993741642207e-02 
 2.187761623949543e-01  2.344186590450438e-06  6.138876756094658e-02 
 2.238721138568330e-01  2.316972029111812e-06  6.067608152967476e-02 
 2.290867652767763e-01  2.290077569155634e-06  5.997177819885927e-02 
 2.344228815319912e-01  2.263499394736439e-06  5.927575758888640e-02 
 2.398832919019480e-01  2.237233736112654e-06  5.858792110723456e-02 
 2.454708915685020e-01  2.211276869082482e-06  5.790817112263256e-02 
 2.511886431509570e-01  2.185625114426693e-06  5.723641128551415e-02 
 2.570395782768853e-01  2.160274837359208e-06  5.657254645881610e-02 
 2.630267991895371e-01  2.135222446982102e-06  5.591648260413706e-02 
 2.691534803926904e-01  2.110464395751711e-06  5.526812677062674e-02 
 2.754228703338155e-01  2.085997178945635e-06  5.462738722555095e-02 
 2.818382931264442e-01  2.061817334141836e-06  5.399417322494340e-02 
 2.884031503126593e-01  2.037921440699055e-06  5.336839526071925e-02 
 2.951209226666373e-01  2.014306119249475e-06  5.274996481113466e-02 
 3.019951720402003e-01  1.990968031191160e-06  5.213879449072004e-02 
 3.090295432513577e-01  1.967903878193372e-06  5.153479781049561e-02 
 3.162277660168365e-01  1.945110401702006e-06  5.093788954862293e-02 
 3.235936569296268e-01  1.922584382454068e-06  5.034798528928763e-02 
 3.311311214825896e-01  1.900322640000104e-06  4.976500185340077e-02 
 3.388441561392009e-01  1.878322032227562e-06  4.918885691186161e-02 
 3.467368504525300e-01  1.856579454894305e-06  4.861946919237805e-02 
 3.548133892335738e-01  1.835091841167179e-06  4.805675831818710e-02 
 3.630780547700996e-01  1.813856161163121e-06  4.750064502685137e-02 
 3.715352290971707e-01  1.792869421499763e-06  4.695105082519693e-02 
 3.801893963205594e-01  1.772128664850364e-06  4.640789838975318e-02 
 3.890451449942787e-01  1.751630969503404e-06  4.587111114554234e-02 
 3.981071705534953e-01  1.731373448928035e-06  4.534061348088745e-02 
 4.073802778041107e-01  1.711353251346136e-06  4.481633071447332e-02 
 4.168693834703334e-01  1.691567559306398e-06  4.429818912136155e-02 
 4.265795188015906e-01  1.672013589268510e-06  4.378611572941139e-02 
 4.365158322401638e-01  1.652688591187635e-06  4.328003855946855e-02 
 4.466835921509609e-01  1.633589848107279e-06  4.277988649710066e-02 
 4.570881896148728e-01  1.614714675755686e-06  4.228558919063926e-02 
 4.677351412871959e-01  1.596060422147780e-06  4.179707722685196e-02 
 4.786300923226360e-01  1.577624467191978e-06  4.131428195454057e-02 
 4.897788193684438e-01  1.559404222301057e-06  4.083713558449419e-02 
 5.011872336272698e-01  1.541397130008810e-06  4.036557119481878e-02 
 5.128613839913623e-01  1.523600663591294e-06  3.989952257994766e-02 
 5.248074602497700e-01  1.506012326692476e-06  3.943892433117133e-02 
 5.370317963702500e-01  1.488629652954315e-06  3.898371189434114e-02 
 5.495408738576217e-01  1.471450205651545e-06  3.853382150637100e-02 
 5.623413251903462e-01  1.454471577331630e-06  3.808919002016269e-02 
 5.754399373371539e-01  1.437691389457648e-06  3.764975519696431e-02 
 5.888436553555859e-01  1.421107292057371e-06  3.721545551154721e-02 
 6.025595860743546e-01  1.404716963375530e-06  3.678623014502147e-02 
 6.165950018614789e-01  1.388518109529985e-06  3.636201905631666e-02 
 6.309573444801898e-01  1.372508464174027e-06  3.594276281514903e-02 
 6.456542290346520e-01  1.356685788160382e-06  3.552840283001724e-02 
 6.606934480075923e-01  1.341047869210361e-06  3.511888119565214e-02 
 6.760829753919780e-01  1.325592521589339e-06  3.471414061038874e-02 
 6.918309709189326e-01  1.310317585781252e-06  3.431412458063492e-02 
