 sweep_vcmfb            sweep_voutp            sweep_voutn            sweep_voutcm           sweep_vod             
 1.039999999999999e-02  3.582779757835349e-07  3.582779757818637e-07  3.582779757826993e-07  1.671248944491938e-18 
 1.049999999999999e-02  3.582779751022885e-07  3.582779751012327e-07  3.582779751017606e-07  1.055720689634079e-18 
 1.059999999999999e-02  3.582779743867717e-07  3.582779743885994e-07  3.582779743876856e-07 -1.827632402378763e-18 
 1.069999999999999e-02  3.582779737246571e-07  3.582779737253162e-07  3.582779737249867e-07 -6.590445725230491e-19 
 1.079999999999999e-02  3.582779730314396e-07  3.582779730320424e-07  3.582779730317410e-07 -6.027698210898415e-19 
 1.089999999999999e-02  3.582779723934949e-07  3.582779723945755e-07  3.582779723940352e-07 -1.080602282459674e-18 
 1.099999999999999e-02  3.582779717237570e-07  3.582779717263885e-07  3.582779717250728e-07 -2.631466669323094e-18 
 1.109999999999999e-02  3.582779710161975e-07  3.582779710159849e-07  3.582779710160912e-07  2.126052697608294e-19 
 1.119999999999999e-02  3.582779703741936e-07  3.582779703736250e-07  3.582779703739093e-07  5.686767449628559e-19 
 1.129999999999999e-02  3.582779697140611e-07  3.582779697141929e-07  3.582779697141270e-07 -1.318724419756539e-19 
 1.139999999999999e-02  3.582779690083036e-07  3.582779690067044e-07  3.582779690075040e-07  1.599145264856916e-18 
 1.149999999999999e-02  3.582779683118101e-07  3.582779683105351e-07  3.582779683111726e-07  1.275049283413739e-18 
 1.159999999999999e-02  3.582779676416181e-07  3.582779676396657e-07  3.582779676406419e-07  1.952463882980366e-18 
 1.169999999999998e-02  3.582779669867468e-07  3.582779669845815e-07  3.582779669856641e-07  2.165280910978009e-18 
 1.179999999999998e-02  3.582779662682279e-07  3.582779662714124e-07  3.582779662698202e-07 -3.184473304761746e-18 
 1.189999999999998e-02  3.582779656007202e-07  3.582779656023597e-07  3.582779656015400e-07 -1.639432269410698e-18 
 1.199999999999998e-02  3.582779649349262e-07  3.582779649370531e-07  3.582779649359897e-07 -2.126899730555548e-18 
 1.209999999999998e-02  3.582779642484391e-07  3.582779642497548e-07  3.582779642490970e-07 -1.315706864881945e-18 
 1.219999999999998e-02  3.582779635497517e-07  3.582779635508768e-07  3.582779635503143e-07 -1.125124451749728e-18 
 1.229999999999998e-02  3.582779628759051e-07  3.582779628771234e-07  3.582779628765143e-07 -1.218245136388497e-18 
 1.239999999999998e-02  3.582779621825487e-07  3.582779621811694e-07  3.582779621818591e-07  1.379287275485221e-18 
 1.249999999999998e-02  3.582779615379917e-07  3.582779615355068e-07  3.582779615367492e-07  2.484877029888897e-18 
 1.259999999999998e-02  3.582779608424273e-07  3.582779608424338e-07  3.582779608424306e-07 -6.511565782017434e-21 
 1.269999999999998e-02  3.582779601827398e-07  3.582779601816774e-07  3.582779601822086e-07  1.062444013652910e-18 
 1.279999999999998e-02  3.582779595295890e-07  3.582779595311544e-07  3.582779595303717e-07 -1.565316886525947e-18 
 1.289999999999998e-02  3.582779588075839e-07  3.582779588076798e-07  3.582779588076318e-07 -9.587354171734612e-20 
 1.299999999999998e-02  3.582779581392683e-07  3.582779581400203e-07  3.582779581396443e-07 -7.519534989250051e-19 
 1.309999999999998e-02  3.582779574754502e-07  3.582779574619373e-07  3.582779574686937e-07  1.351287542622546e-17 
 1.319999999999998e-02  3.582779567585737e-07  3.582779567823979e-07  3.582779567704858e-07 -2.382423100962569e-17 
 1.329999999999998e-02  3.582779561291846e-07  3.582779561241251e-07  3.582779561266548e-07  5.059592491745953e-18 
 1.339999999999997e-02  3.582779553980991e-07  3.582779553972303e-07  3.582779553976647e-07  8.688440456460986e-19 
 1.349999999999997e-02  3.582779547409066e-07  3.582779547413127e-07  3.582779547411097e-07 -4.060993586492336e-19 
 1.359999999999997e-02  3.582779540812043e-07  3.582779540839609e-07  3.582779540825826e-07 -2.756562847720714e-18 
 1.369999999999997e-02  3.582779533768394e-07  3.582779533779506e-07  3.582779533773950e-07 -1.111148408120032e-18 
 1.379999999999997e-02  3.582779526839002e-07  3.582779526845254e-07  3.582779526842128e-07 -6.252691337512838e-19 
 1.389999999999997e-02  3.582779520279013e-07  3.582779520283184e-07  3.582779520281098e-07 -4.170578474043361e-19 
 1.399999999999997e-02  3.582779513224007e-07  3.582779513203215e-07  3.582779513213611e-07  2.079201187713290e-18 
 1.409999999999997e-02  3.582779506749139e-07  3.582779506741905e-07  3.582779506745522e-07  7.233661369551725e-19 
