 frequency              onoise_spectrum       
 3.235936569296268e-01  5.924681447929488e-02 
 3.311311214825896e-01  5.853517070101927e-02 
 3.388441561392009e-01  5.783218499358309e-02 
 3.467368504525300e-01  5.713775084939892e-02 
 3.548133892335738e-01  5.645176308430685e-02 
 3.630780547700996e-01  5.577411782099963e-02 
 3.715352290971707e-01  5.510471247265612e-02 
 3.801893963205594e-01  5.444344572678159e-02 
 3.890451449942787e-01  5.379021752925103e-02 
 3.981071705534953e-01  5.314492906855392e-02 
 4.073802778041107e-01  5.250748276023716e-02 
 4.168693834703334e-01  5.187778223154411e-02 
 4.265795188015906e-01  5.125573230624705e-02 
 4.365158322401638e-01  5.064123898967060e-02 
 4.466835921509609e-01  5.003420945390390e-02 
 4.570881896148728e-01  4.943455202319871e-02 
 4.677351412871959e-01  4.884217615955171e-02 
 4.786300923226360e-01  4.825699244846792e-02 
 4.897788193684438e-01  4.767891258490369e-02 
 5.011872336272698e-01  4.710784935938643e-02 
 5.128613839913623e-01  4.654371664430896e-02 
 5.248074602497700e-01  4.598642938039662e-02 
 5.370317963702500e-01  4.543590356334445e-02 
 5.495408738576217e-01  4.489205623062253e-02 
 5.623413251903462e-01  4.435480544844739e-02 
 5.754399373371539e-01  4.382407029891734e-02 
 5.888436553555859e-01  4.329977086730948e-02 
 6.025595860743546e-01  4.278182822953668e-02 
 6.165950018614789e-01  4.227016443976207e-02 
 6.309573444801898e-01  4.176470251816953e-02 
 6.456542290346520e-01  4.126536643888772e-02 
 6.606934480075923e-01  4.077208111806607e-02 
 6.760829753919780e-01  4.028477240210062e-02 
 6.918309709189326e-01  3.980336705600781e-02 
 7.079457843841339e-01  3.932779275194442e-02 
 7.244359600749859e-01  3.885797805787181e-02 
 7.413102413009133e-01  3.839385242636242e-02 
 7.585775750291794e-01  3.793534618354719e-02 
 7.762471166286873e-01  3.748239051820144e-02 
 7.943282347242769e-01  3.703491747096815e-02 
 8.128305161640945e-01  3.659285992371631e-02 
 8.317637711026662e-01  3.615615158903311e-02 
 8.511380382023715e-01  3.572472699984786e-02 
 8.709635899560756e-01  3.529852149918630e-02 
 8.912509381337403e-01  3.487747123005330e-02 
 9.120108393559044e-01  3.446151312544269e-02 
 9.332543007969856e-01  3.405058489847238e-02 
 9.549925860214303e-01  3.364462503264311e-02 
 9.772372209558049e-01  3.324357277221956e-02 
 9.999999999999940e-01  3.284736811273186e-02 
 1.023292992280748e+00  3.245595179159633e-02 
 1.047128548050893e+00  3.206926527885374e-02 
 1.071519305237600e+00  3.168725076802358e-02 
 1.096478196143178e+00  3.130985116707297e-02 
 1.122018454301957e+00  3.093701008949875e-02 
 1.148153621496876e+00  3.056867184552101e-02 
 1.174897554939522e+00  3.020478143338727e-02 
 1.202264434617406e+00  2.984528453078511e-02 
 1.230268770812374e+00  2.949012748636252e-02 
 1.258925411794160e+00  2.913925731135428e-02 
 1.288249551693126e+00  2.879262167131297e-02 
 1.318256738556399e+00  2.845016887794357e-02 
 1.348962882591645e+00  2.811184788103990e-02 
 1.380384264602876e+00  2.777760826052202e-02 
 1.412537544622746e+00  2.744740021857304e-02 
 1.445439770745919e+00  2.712117457187402e-02 
 1.479108388168198e+00  2.679888274393604e-02 
 1.513561248436199e+00  2.648047675752776e-02 
 1.548816618912471e+00  2.616590922719751e-02 
 1.584893192461103e+00  2.585513335188872e-02 
 1.621810097358920e+00  2.554810290764727e-02 
 1.659586907437550e+00  2.524477224041978e-02 
 1.698243652461733e+00  2.494509625894164e-02 
 1.737800828749364e+00  2.464903042771350e-02 
