 time                   tr_vin                 tr_vout                tr_err                 tr_vin_diff            tr_idd                 tr_iout               
 1.932875000000386e-05  1.000000000000000e+00  9.999931303582158e-01 -6.869641784201796e-06  6.869641784201796e-06  7.954132532189839e-04 -1.310285199596779e-14 
 1.932925000000386e-05  1.000000000000000e+00  9.999931303571626e-01 -6.869642837359358e-06  6.869642837359358e-06  7.954132532199205e-04 -2.292721586324377e-14 
 1.932975000000386e-05  1.000000000000000e+00  9.999931303559231e-01 -6.869644076923365e-06  6.869644076923365e-06  7.954132533903788e-04 -1.287525634607510e-14 
 1.933025000000386e-05  1.000000000000000e+00  9.999931303558751e-01 -6.869644124884999e-06  6.869644124884999e-06  7.954132531720763e-04  6.371569309879380e-15 
 1.933075000000386e-05  1.000000000000000e+00  9.999931303565602e-01 -6.869643439766371e-06  6.869643439766371e-06  7.954132530752278e-04  1.820210662125430e-14 
 1.933125000000386e-05  1.000000000000000e+00  9.999931303576953e-01 -6.869642304674350e-06  6.869642304674350e-06  7.954132532847611e-04  8.482094898615240e-16 
 1.933175000000386e-05  1.000000000000000e+00  9.999931303566451e-01 -6.869643354945332e-06  6.869643354945332e-06  7.954132532194343e-04 -2.659650249620565e-14 
 1.933225000000386e-05  1.000000000000000e+00  9.999931303550357e-01 -6.869644964324628e-06  6.869644964324628e-06  7.954132532832812e-04 -1.341371530803563e-14 
 1.933275000000386e-05  1.000000000000000e+00  9.999931303553037e-01 -6.869644696316790e-06  6.869644696316790e-06  7.954132532179374e-04  1.278865958943234e-14 
 1.933325000000387e-05  1.000000000000000e+00  9.999931303563145e-01 -6.869643685458726e-06  6.869643685458726e-06  7.954132531711669e-04  6.057377035285628e-15 
 1.933375000000387e-05  1.000000000000000e+00  9.999931303559094e-01 -6.869644090579108e-06  6.869644090579108e-06  7.954132530754411e-04 -8.981704266329502e-15 
 1.933425000000387e-05  1.000000000000000e+00  9.999931303554164e-01 -6.869644583629153e-06  6.869644583629153e-06  7.954132531733397e-04 -2.048250467166652e-14 
 1.933475000000387e-05  1.000000000000000e+00  9.999931303538612e-01 -6.869646138829566e-06  6.869646138829566e-06  7.954132533897208e-04 -2.848055119744733e-14 
 1.933525000000387e-05  1.000000000000000e+00  9.999931303525683e-01 -6.869647431684278e-06  6.869647431684278e-06  7.954132532648184e-04 -1.539324190081931e-14 
 1.933575000000387e-05  1.000000000000000e+00  9.999931303523218e-01 -6.869647678153790e-06  6.869647678153790e-06  7.954132532496975e-04 -1.958433592356887e-15 
 1.933625000000387e-05  1.000000000000000e+00  9.999931303523725e-01 -6.869647627527620e-06  6.869647627527620e-06  7.954132532315680e-04  6.794565232337343e-15 
 1.933675000000387e-05  1.000000000000000e+00  9.999931303530013e-01 -6.869646998697299e-06  6.869646998697299e-06  7.954132534197120e-04 -4.083399684782654e-15 
 1.933725000000387e-05  1.000000000000000e+00  9.999931303519641e-01 -6.869648035867648e-06  6.869648035867648e-06  7.954132531185530e-04 -2.059352688735672e-14 
 1.933775000000388e-05  1.000000000000000e+00  9.999931303509420e-01 -6.869649058049987e-06  6.869649058049987e-06  7.954132531103176e-04 -8.083532718063706e-15 
 1.933825000000388e-05  1.000000000000000e+00  9.999931303511558e-01 -6.869648844221032e-06  6.869648844221032e-06  7.954132532420237e-04  7.051026427539283e-15 
 1.933875000000388e-05  1.000000000000000e+00  9.999931303516471e-01 -6.869648352947344e-06  6.869648352947344e-06  7.954132534166838e-04  7.011058660189739e-15 
 1.933925000000388e-05  1.000000000000000e+00  9.999931303518569e-01 -6.869648143115192e-06  6.869648143115192e-06  7.954132532305314e-04  7.598366458400196e-15 
 1.933975000000388e-05  1.000000000000000e+00  9.999931303524069e-01 -6.869647593110706e-06  6.869647593110706e-06  7.954132531329843e-04  1.803779372508790e-14 
