 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 1.972422736114861e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128620461694e-01  4.361849822035375e-05 
 1.995262314968887e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128621095072e-01  4.412357662138745e-05 
 2.018366363681569e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128621743229e-01  4.463450355452058e-05 
 2.041737944669537e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128622406876e-01  4.515134674255979e-05 
 2.065380155810538e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128623085586e-01  4.567417469250868e-05 
 2.089296130854048e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128623780213e-01  4.620305670463019e-05 
 2.113489039836655e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128624490898e-01  4.673806288166161e-05 
 2.137962089502241e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128625218352e-01  4.727926413808054e-05 
 2.162718523727029e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128625962574e-01  4.782673220951978e-05 
 2.187761623949562e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128626724134e-01  4.838053966227432e-05 
 2.213094709605647e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128627503599e-01  4.894075990290971e-05 
 2.238721138568350e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128628301112e-01  4.950746718800616e-05 
 2.264644307593070e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128629117100e-01  5.008073663399048e-05 
 2.290867652767783e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128629952271e-01  5.066064422709852e-05 
 2.317394649968489e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128630806770e-01  5.124726683344264e-05 
 2.344228815319933e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128631681448e-01  5.184068220920466e-05 
 2.371373705661666e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128632576164e-01  5.244096901094034e-05 
 2.398832919019502e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128633491769e-01  5.304820680600611e-05 
 2.426610095082427e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128634428833e-01  5.366247608309619e-05 
 2.454708915685042e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128635387497e-01  5.428385826293430e-05 
 2.483133105295583e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128636368757e-01  5.491243570903821e-05 
 2.511886431509593e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128637372753e-01  5.554829173865774e-05 
 2.540972705549318e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128638400340e-01  5.619151063380788e-05 
 2.570395782768877e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128639451517e-01  5.684217765244513e-05 
 2.600159563165286e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128640527421e-01  5.750037903976193e-05 
 2.630267991895396e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128641628478e-01  5.816620203962477e-05 
 2.660725059798824e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128642754546e-01  5.883973490613940e-05 
 2.691534803926931e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128643907331e-01  5.952106691534269e-05 
 2.722701308077928e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128645087116e-01  6.021028837703586e-05 
 2.754228703338182e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128646294044e-01  6.090749064676474e-05 
 2.786121168629786e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128647529393e-01  6.161276613791360e-05 
 2.818382931264470e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128648793449e-01  6.232620833397153e-05 
 2.851018267503926e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128650086921e-01  6.304791180091127e-05 
 2.884031503126623e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128651410236e-01  6.377797219972563e-05 
 2.917427014001184e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128652764672e-01  6.451648629911194e-05 
 2.951209226666404e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128654150657e-01  6.526355198829116e-05 
 2.985382618917978e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128655568900e-01  6.601926828999335e-05 
 3.019951720402035e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128657019971e-01  6.678373537357608e-05 
 3.054921113215532e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128658505289e-01  6.755705456829646e-05 
 3.090295432513610e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128660024856e-01  6.833932837675924e-05 
 3.126079367123975e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128661579808e-01  6.913066048848302e-05 
 3.162277660168400e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128663171139e-01  6.993115579365827e-05 
 3.198895109691419e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128664799419e-01  7.074092039704748e-05 
 3.235936569296304e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128666465642e-01  7.156006163204383e-05 
 3.273406948788404e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128668170660e-01  7.238868807490360e-05 
 3.311311214825933e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128669915611e-01  7.322690955913736e-05 
 3.349654391578299e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128671700920e-01  7.407483719006312e-05 
 3.388441561392048e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128673528152e-01  7.493258335954473e-05 
 3.427677865464526e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128675397590e-01  7.580026176087555e-05 
 3.467368504525339e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128677310797e-01  7.667798740385598e-05 
 3.507518739525704e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128679268343e-01  7.756587663003247e-05 
 3.548133892335779e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128681271789e-01  7.846404712812675e-05 
 3.589219346450077e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128683321563e-01  7.937261794964008e-05 
 3.630780547701039e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128685419085e-01  8.029170952460062e-05 
 3.672823004980873e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128687565634e-01  8.122144367756653e-05 
 3.715352290971752e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128689762064e-01  8.216194364375530e-05 
 3.758374042884469e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128692009937e-01  8.311333408537939e-05 
 3.801893963205639e-02  1.000000000000000e+00  0.000000000000000e+00  2.866128694309964e-01  8.407574110816468e-05 
