 frequency       in_noise        out_noise      
 2.68515898e+01  8.73209598e-07  3.67451545e-02 
 2.74770437e+01  8.63458056e-07  3.63240725e-02 
 2.81170663e+01  8.53816346e-07  3.59073618e-02 
 2.87719969e+01  8.44283220e-07  3.54949606e-02 
 2.94421828e+01  8.34857445e-07  3.50868070e-02 
 3.01279793e+01  8.25537801e-07  3.46828398e-02 
 3.08297501e+01  8.16323084e-07  3.42829978e-02 
 3.15478672e+01  8.07212102e-07  3.38872204e-02 
 3.22827115e+01  7.98203679e-07  3.34954471e-02 
 3.30346724e+01  7.89296648e-07  3.31076177e-02 
 3.38041488e+01  7.80489861e-07  3.27236724e-02 
 3.45915485e+01  7.71782180e-07  3.23435515e-02 
 3.53972892e+01  7.63172479e-07  3.19671957e-02 
 3.62217980e+01  7.54659648e-07  3.15945458e-02 
 3.70655121e+01  7.46242588e-07  3.12255431e-02 
 3.79288788e+01  7.37920213e-07  3.08601287e-02 
 3.88123558e+01  7.29691449e-07  3.04982444e-02 
 3.97164117e+01  7.21555235e-07  3.01398319e-02 
 4.06415258e+01  7.13510522e-07  2.97848331e-02 
 4.15881886e+01  7.05556272e-07  2.94331905e-02 
 4.25569019e+01  6.97691460e-07  2.90848462e-02 
 4.35481795e+01  6.89915073e-07  2.87397432e-02 
 4.45625469e+01  6.82226109e-07  2.83978240e-02 
 4.56005420e+01  6.74623578e-07  2.80590319e-02 
 4.66627150e+01  6.67106500e-07  2.77233100e-02 
 4.77496293e+01  6.59673908e-07  2.73906019e-02 
 4.88618610e+01  6.52324845e-07  2.70608512e-02 
 5.00000000e+01  6.45058365e-07  2.67340019e-02 
 5.11646496e+01  6.37873534e-07  2.64099981e-02 
 5.23564274e+01  6.30769427e-07  2.60887842e-02 
 5.35759653e+01  6.23745130e-07  2.57703049e-02 
 5.48239098e+01  6.16799741e-07  2.54545052e-02 
 5.61009227e+01  6.09932367e-07  2.51413302e-02 
 5.74076811e+01  6.03142125e-07  2.48307255e-02 
 5.87448777e+01  5.96428142e-07  2.45226369e-02 
 6.01132217e+01  5.89789557e-07  2.42170109e-02 
 6.15134385e+01  5.83225516e-07  2.39137939e-02 
 6.29462706e+01  5.76735177e-07  2.36129330e-02 
 6.44124776e+01  5.70317706e-07  2.33143759e-02 
 6.59128369e+01  5.63972280e-07  2.30180704e-02 
 6.74481441e+01  5.57698085e-07  2.27239652e-02 
 6.90192132e+01  5.51494315e-07  2.24320094e-02 
 7.06268772e+01  5.45360175e-07  2.21421529e-02 
