 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 1.001750000000000e-06  1.000000000000000e+00  3.739260583188120e-02  1.649880057048648e+00  1.649992667893725e+00  1.649936362471186e+00 -1.126108450770769e-04  1.649935994234372e+00  1.672640850802978e-03 
 1.002250000000000e-06  1.000000000000000e+00  5.163763893048468e-02  1.649941534065196e+00  1.649960069676558e+00  1.649950801870876e+00 -1.853561136200277e-05  1.649949667961543e+00  1.675175891504257e-03 
 1.002750000000000e-06  1.000000000000000e+00  6.560974737701142e-02  1.650113505655837e+00  1.649850832536034e+00  1.649982169095936e+00  2.626731198032140e-04  1.649979448695433e+00  1.678984177186872e-03 
 1.003250000000000e-06  1.000000000000000e+00  7.938669408205334e-02  1.650428592547654e+00  1.649646096734937e+00  1.650037344641295e+00  7.824958127164994e-04  1.650031941523566e+00  1.683983416447839e-03 
 1.003750000000000e-06  1.000000000000000e+00  9.302953922347701e-02  1.650912453374916e+00  1.649333201811028e+00  1.650122827592972e+00  1.579251563888162e-03  1.650113416751478e+00  1.690003767933855e-03 
 1.004250000000000e-06  1.000000000000000e+00  1.065802141841785e-01  1.651582839749712e+00  1.648905252646961e+00  1.650244046198336e+00  2.677587102751122e-03  1.650229150212508e+00  1.696790571428160e-03 
 1.004750000000000e-06  1.000000000000000e+00  1.200597805725794e-01  1.652449762607773e+00  1.648360146803411e+00  1.650404954705592e+00  4.089615804361513e-03  1.650383032753448e+00  1.704054915930896e-03 
 1.005250000000000e-06  1.000000000000000e+00  1.334685244534535e-01  1.653516137191712e+00  1.647699526610661e+00  1.650607831901187e+00  5.816610581050874e-03  1.650577370472537e+00  1.711497211072289e-03 
 1.005750000000000e-06  1.000000000000000e+00  1.467877550036170e-01  1.654778685842403e+00  1.646927812368106e+00  1.650853249105255e+00  7.850873474297249e-03  1.650812845852059e+00  1.718831158129070e-03 
 1.006250000000000e-06  1.000000000000000e+00  1.599831823990836e-01  1.656228988909257e+00  1.646051359310130e+00  1.651140174109694e+00  1.017762959912782e-02  1.651088608672253e+00  1.725802312680937e-03 
 1.006750000000000e-06  1.000000000000000e+00  1.730094994023406e-01  1.657854606225366e+00  1.645077745884675e+00  1.651466176055020e+00  1.277686034069059e-02  1.651402463995339e+00  1.732200876124292e-03 
 1.007250000000000e-06  1.000000000000000e+00  1.858155219080819e-01  1.659640200475058e+00  1.644015190826127e+00  1.651827695650593e+00  1.562500964893054e-02  1.651751123763851e+00  1.737868659526793e-03 
 1.007750000000000e-06  1.000000000000000e+00  1.983491348423285e-01  1.661568600135379e+00  1.642872092810726e+00  1.652220346473052e+00  1.869650732465322e-02  1.652130489636751e+00  1.742700621463252e-03 
 1.008250000000000e-06  1.000000000000000e+00  2.105614024787970e-01  1.663621750350741e+00  1.641656683608824e+00  1.652639216979782e+00  2.196506674191734e-02  1.652535938216395e+00  1.746641833317970e-03 
 1.008750000000001e-06  1.000000000000000e+00  2.224094748664824e-01  1.665781515564094e+00  1.640376782644994e+00  1.653079149104544e+00  2.540473291910006e-02  1.652962585598668e+00  1.749681137359815e-03 
 1.009250000000001e-06  1.000000000000000e+00  2.338582283449269e-01  1.668030315543760e+00  1.639039638309550e+00  1.653534976926655e+00  2.899067723420989e-02  1.653405515309094e+00  1.751842887286947e-03 
 1.009750000000001e-06  1.000000000000000e+00  2.448808123665280e-01  1.670351593492521e+00  1.637651839932904e+00  1.654001716712713e+00  3.269975355961652e-02  1.653859961058280e+00  1.753178031645116e-03 
 1.010250000000001e-06  1.000000000000000e+00  2.554583921404809e-01  1.672730128587578e+00  1.636219284258186e+00  1.654474706422882e+00  3.651084432939289e-02  1.654321442177038e+00  1.753755576760350e-03 
 1.010750000000001e-06  1.000000000000000e+00  2.655793907073514e-01  1.675152214353560e+00  1.634747181487058e+00  1.654949697920309e+00  4.040503286650199e-02  1.654785854507948e+00  1.753655075723000e-03 
 1.011250000000001e-06  1.000000000000000e+00  2.752384848952911e-01  1.677605728634494e+00  1.633240088080535e+00  1.655422908357514e+00  4.436564055395875e-02  1.655249522642777e+00  1.752960520013358e-03 
 1.011750000000001e-06  1.000000000000000e+00  2.844355377538146e-01  1.680080121442094e+00  1.631701955964326e+00  1.655891038703210e+00  4.837816547776730e-02  1.655709220869178e+00  1.751755664142129e-03 
 1.012250000000001e-06  1.000000000000000e+00  2.931745803082990e-01  1.682566344813918e+00  1.630136190280626e+00  1.656351267547272e+00  5.243015453329192e-02  1.656162170409531e+00  1.750120726390730e-03 
