 frequency              onoise_spectrum       
 5.011872336272712e-02  7.122062624219620e-02 
 5.128613839913638e-02  7.038522003193240e-02 
 5.248074602497715e-02  6.955974452817000e-02 
 5.370317963702516e-02  6.874408010346424e-02 
 5.495408738576234e-02  6.793810859075462e-02 
 5.623413251903479e-02  6.714171326379335e-02 
 5.754399373371557e-02  6.635477882014010e-02 
 5.888436553555877e-02  6.557719136319266e-02 
 6.025595860743563e-02  6.480883838547147e-02 
 6.165950018614807e-02  6.404960875025216e-02 
 6.309573444801918e-02  6.329939267612049e-02 
 6.456542290346540e-02  6.255808171952992e-02 
 6.606934480075945e-02  6.182556875788545e-02 
 6.760829753919802e-02  6.110174797433884e-02 
 6.918309709189348e-02  6.038651484062636e-02 
 7.079457843841361e-02  5.967976610193337e-02 
 7.244359600749882e-02  5.898139976098771e-02 
 7.413102413009155e-02  5.829131506231349e-02 
 7.585775750291818e-02  5.760941247739109e-02 
 7.762471166286897e-02  5.693559368889457e-02 
 7.943282347242793e-02  5.626976157671709e-02 
 8.128305161640970e-02  5.561182020214737e-02 
 8.317637711026686e-02  5.496167479415590e-02 
 8.511380382023739e-02  5.431923173467796e-02 
 8.709635899560780e-02  5.368439854470245e-02 
 8.912509381337429e-02  5.305708386946358e-02 
 9.120108393559070e-02  5.243719746540110e-02 
 9.332543007969883e-02  5.182465018692400e-02 
 9.549925860214331e-02  5.121935397105904e-02 
 9.772372209558078e-02  5.062122182606524e-02 
 9.999999999999970e-02  5.003016781744621e-02 
 1.023292992280751e-01  4.944610705465136e-02 
 1.047128548050896e-01  4.886895567897173e-02 
 1.071519305237603e-01  4.829863085033566e-02 
 1.096478196143182e-01  4.773505073450380e-02 
 1.122018454301960e-01  4.717813449198678e-02 
 1.148153621496879e-01  4.662780226404938e-02 
 1.174897554939526e-01  4.608397516236995e-02 
 1.202264434617409e-01  4.554657525550741e-02 
 1.230268770812377e-01  4.501552555865861e-02 
 1.258925411794163e-01  4.449075002072998e-02 
 1.288249551693130e-01  4.397217351388305e-02 
 1.318256738556403e-01  4.345972182161396e-02 
 1.348962882591649e-01  4.295332162771857e-02 
 1.380384264602880e-01  4.245290050509234e-02 
 1.412537544622749e-01  4.195838690540191e-02 
 1.445439770745922e-01  4.146971014734824e-02 
 1.479108388168202e-01  4.098680040665025e-02 
 1.513561248436203e-01  4.050958870580301e-02 
 1.548816618912476e-01  4.003800690284106e-02 
 1.584893192461108e-01  3.957198768165553e-02 
 1.621810097358924e-01  3.911146454209547e-02 
 1.659586907437555e-01  3.865637178907723e-02 
 1.698243652461738e-01  3.820664452362722e-02 
 1.737800828749369e-01  3.776221863264726e-02 
 1.778279410038916e-01  3.732303077934893e-02 
 1.819700858609977e-01  3.688901839380275e-02 
 1.862087136662861e-01  3.646011966363200e-02 
 1.905460717963240e-01  3.603627352425685e-02 
 1.949844599758038e-01  3.561741965042350e-02 
 1.995262314968872e-01  3.520349844673568e-02 
 2.041737944669521e-01  3.479445103856667e-02 
 2.089296130854031e-01  3.439021926368609e-02 
 2.137962089502223e-01  3.399074566314308e-02 
 2.187761623949543e-01  3.359597347286452e-02 
 2.238721138568330e-01  3.320584661511593e-02 
 2.290867652767763e-01  3.282030969012684e-02 
 2.344228815319912e-01  3.243930796750973e-02 
 2.398832919019480e-01  3.206278737849347e-02 
 2.454708915685020e-01  3.169069450757230e-02 
 2.511886431509570e-01  3.132297658448843e-02 
