 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 3.388441561392048e-04  1.000000000000000e+00  0.000000000000000e+00  1.039700832409594e-01  3.052216968660892e-01 
 3.427677865464527e-04  1.000000000000000e+00  0.000000000000000e+00  1.061348229444510e-01  3.080100665173797e-01 
 3.467368504525340e-04  1.000000000000000e+00  0.000000000000000e+00  1.083391846289696e-01  3.108082753645197e-01 
 3.507518739525704e-04  1.000000000000000e+00  0.000000000000000e+00  1.105836656415776e-01  3.136158421032342e-01 
 3.548133892335779e-04  1.000000000000000e+00  0.000000000000000e+00  1.128687599398280e-01  3.164322682593007e-01 
 3.589219346450077e-04  1.000000000000000e+00  0.000000000000000e+00  1.151949575970666e-01  3.192570379839569e-01 
 3.630780547701038e-04  1.000000000000000e+00  0.000000000000000e+00  1.175627442915462e-01  3.220896178606857e-01 
 3.672823004980872e-04  1.000000000000000e+00  0.000000000000000e+00  1.199726007793923e-01  3.249294567242334e-01 
 3.715352290971751e-04  1.000000000000000e+00  0.000000000000000e+00  1.224250023514958e-01  3.277759854927395e-01 
 3.758374042884468e-04  1.000000000000000e+00  0.000000000000000e+00  1.249204182744524e-01  3.306286170138780e-01 
 3.801893963205639e-04  1.000000000000000e+00  0.000000000000000e+00  1.274593112157016e-01  3.334867459259264e-01 
 3.845917820453563e-04  1.000000000000000e+00  0.000000000000000e+00  1.300421366530710e-01  3.363497485346955e-01 
 3.890451449942834e-04  1.000000000000000e+00  0.000000000000000e+00  1.326693422689687e-01  3.392169827072707e-01 
 3.935500754557803e-04  1.000000000000000e+00  0.000000000000000e+00  1.353413673295201e-01  3.420877877835278e-01 
 3.981071705535002e-04  1.000000000000000e+00  0.000000000000000e+00  1.380586420489924e-01  3.449614845063977e-01 
 4.027170343254621e-04  1.000000000000000e+00  0.000000000000000e+00  1.408215869399008e-01  3.478373749718638e-01 
 4.073802778041158e-04  1.000000000000000e+00  0.000000000000000e+00  1.436306121492472e-01  3.507147425996846e-01 
 4.120975190973334e-04  1.000000000000000e+00  0.000000000000000e+00  1.464861167813947e-01  3.535928521258381e-01 
 4.168693834703386e-04  1.000000000000000e+00  0.000000000000000e+00  1.493884882081390e-01  3.564709496176849e-01 
 4.216965034285855e-04  1.000000000000000e+00  0.000000000000000e+00  1.523381013665982e-01  3.593482625128499e-01 
 4.265795188015960e-04  1.000000000000000e+00  0.000000000000000e+00  1.553353180456013e-01  3.622239996828148e-01 
 4.315190768277686e-04  1.000000000000000e+00  0.000000000000000e+00  1.583804861613176e-01  3.650973515222089e-01 
 4.365158322401694e-04  1.000000000000000e+00  0.000000000000000e+00  1.614739390229354e-01  3.679674900647765e-01 
 4.415704473533160e-04  1.000000000000000e+00  0.000000000000000e+00  1.646159945892574e-01  3.708335691269800e-01 
 4.466835921509667e-04  1.000000000000000e+00  0.000000000000000e+00  1.678069547171519e-01  3.736947244801878e-01 
