Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 -3 dB bandwidth",MHz,2.021
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 input range low",V,-0.419
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 input range high",V,0.419
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 output range low",V,-3.326
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 output range high",V,3.326
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 CMRR @ 60 Hz",dB,207.262
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 CMRR @ 150 Hz",dB,207.251
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 PSRR+ @ 60 Hz",dB,250.251
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 PSRR+ @ 150 Hz",dB,250.349
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 PSRR- @ 60 Hz",dB,203.676
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 PSRR- @ 150 Hz",dB,203.665
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 input-referred noise 0.05-150 Hz",uVrms,3.479
NOMVHNOM,NOM,VHNOM,3.6,27,"G8 THD @ 60 Hz, 0.30 Vpp",%,1.492e-04
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 target gain",V/V,16.000
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 input offset",mV,-8.014e-08
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 gain @ 10 Hz",V/V,15.863
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 gain @ 150 Hz",V/V,15.863
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 gain error",%,-0.855
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 -3 dB bandwidth",MHz,0.932
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 input range low",V,-0.206
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 input range high",V,0.206
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 output range low",V,-3.265
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 output range high",V,3.265
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 CMRR @ 60 Hz",dB,224.237
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 CMRR @ 150 Hz",dB,224.237
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 PSRR+ @ 60 Hz",dB,271.245
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 PSRR+ @ 150 Hz",dB,271.588
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 PSRR- @ 60 Hz",dB,214.192
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 PSRR- @ 150 Hz",dB,214.191
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 input-referred noise 0.05-150 Hz",uVrms,3.284
NOMVHNOM,NOM,VHNOM,3.6,27,"G16 THD @ 60 Hz, 0.15 Vpp",%,1.988e-04
NOMNOMTL,NOM,NOMTL,3.3,-40,"FDC bias current",uA,35.435
NOMNOMTL,NOM,NOMTL,3.3,-40,"CMFB bias current",uA,35.435
