 cl_ref                 cl_voutcm              cl_ideal               cl_vcmfb               cl_error              
 2.700000000000001e-01  2.887042635232979e-01  2.700000000000001e-01  1.136804263523298e+00  1.870426352329785e-02 
 2.800000000000001e-01  2.961908255979533e-01  2.800000000000001e-01  1.144290825597953e+00  1.619082559795321e-02 
 2.900000000000001e-01  3.041557837472610e-01  2.900000000000001e-01  1.152255783747261e+00  1.415578374726095e-02 
 3.000000000000001e-01  3.125296962826423e-01  3.000000000000001e-01  1.160629696282642e+00  1.252969628264217e-02 
 3.100000000000001e-01  3.212388695916313e-01  3.100000000000001e-01  1.169338869591631e+00  1.123886959163117e-02 
 3.200000000000001e-01  3.302189369481869e-01  3.200000000000001e-01  1.178318936948187e+00  1.021893694818682e-02 
 3.300000000000001e-01  3.394140152322764e-01  3.300000000000001e-01  1.187514015232276e+00  9.414015232276307e-03 
 3.400000000000001e-01  3.487782019321486e-01  3.400000000000001e-01  1.196878201932148e+00  8.778201932148455e-03 
 3.500000000000001e-01  3.582741328604522e-01  3.500000000000001e-01  1.206374132860452e+00  8.274132860452033e-03 
 3.600000000000002e-01  3.678715062542772e-01  3.600000000000002e-01  1.215971506254277e+00  7.871506254277072e-03 
 3.700000000000002e-01  3.775468905650490e-01  3.700000000000002e-01  1.225646890565049e+00  7.546890565048814e-03 
 3.800000000000002e-01  3.872820935828614e-01  3.800000000000002e-01  1.235382093582861e+00  7.282093582861193e-03 
 3.900000000000002e-01  3.970626716833463e-01  3.900000000000002e-01  1.245162671683346e+00  7.062671683346122e-03 
 4.000000000000002e-01  4.068785226997960e-01  4.000000000000002e-01  1.254978522699796e+00  6.878522699795775e-03 
 4.100000000000002e-01  4.167209426149003e-01  4.100000000000002e-01  1.264820942614900e+00  6.720942614900138e-03 
 4.200000000000002e-01  4.265836990130805e-01  4.200000000000002e-01  1.274683699013080e+00  6.583699013080258e-03 
 4.300000000000002e-01  4.364620209033518e-01  4.300000000000002e-01  1.284562020903352e+00  6.462020903351628e-03 
 4.400000000000002e-01  4.463520294266037e-01  4.400000000000002e-01  1.294452029426604e+00  6.352029426603456e-03 
 4.500000000000002e-01  4.562508915066441e-01  4.500000000000002e-01  1.304350891506644e+00  6.250891506643874e-03 
 4.600000000000002e-01  4.661562592466586e-01  4.600000000000002e-01  1.314256259246658e+00  6.156259246658358e-03 
 4.700000000000003e-01  4.760662091052978e-01  4.700000000000003e-01  1.324166209105298e+00  6.066209105297593e-03 
 4.800000000000003e-01  4.859791521044445e-01  4.800000000000003e-01  1.334079152104444e+00  5.979152104444274e-03 
 4.900000000000003e-01  4.958938005912648e-01  4.900000000000003e-01  1.343993800591265e+00  5.893800591264486e-03 
 5.000000000000002e-01  5.058091050488644e-01  5.000000000000002e-01  1.353909105048864e+00  5.809105048864227e-03 
 5.100000000000002e-01  5.157241800959949e-01  5.100000000000002e-01  1.363824180095995e+00  5.724180095994624e-03 
 5.200000000000002e-01  5.256384205718645e-01  5.200000000000002e-01  1.373738420571864e+00  5.638420571864255e-03 
 5.300000000000002e-01  5.355514128256320e-01  5.300000000000002e-01  1.383651412825632e+00  5.551412825631763e-03 
 5.400000000000003e-01  5.454629949689869e-01  5.400000000000003e-01  1.393562994968987e+00  5.462994968986612e-03 
 5.500000000000003e-01  5.553732102574194e-01  5.500000000000003e-01  1.403473210257419e+00  5.373210257419103e-03 
 5.600000000000003e-01  5.652822959325641e-01  5.600000000000003e-01  1.413382295932564e+00  5.282295932563796e-03 
 5.700000000000003e-01  5.751906360197088e-01  5.700000000000003e-01  1.423290636019709e+00  5.190636019708483e-03 
 5.800000000000003e-01  5.850987196261681e-01  5.800000000000003e-01  1.433198719626168e+00  5.098719626167814e-03 
 5.900000000000003e-01  5.950070679859409e-01  5.900000000000003e-01  1.443107067985941e+00  5.007067985940639e-03 
 6.000000000000003e-01  6.049162121728275e-01  6.000000000000003e-01  1.453016212172827e+00  4.916212172827228e-03 
 6.100000000000003e-01  6.148266412173129e-01  6.100000000000003e-01  1.462926641217313e+00  4.826641217312577e-03 
 6.200000000000003e-01  6.247387823423307e-01  6.200000000000003e-01  1.472838782342331e+00  4.738782342330383e-03 
 6.300000000000003e-01  6.346529869690594e-01  6.300000000000003e-01  1.482752986969059e+00  4.652986969059025e-03 
 6.400000000000003e-01  6.445695234379263e-01  6.400000000000003e-01  1.492669523437926e+00  4.569523437925938e-03 
 6.500000000000004e-01  6.544885887115535e-01  6.500000000000004e-01  1.502588588711553e+00  4.488588711553110e-03 
 6.600000000000004e-01  6.644103112876172e-01  6.600000000000004e-01  1.512510311287617e+00  4.410311287616819e-03 
 6.700000000000004e-01  6.743347638208228e-01  6.700000000000004e-01  1.522434763820823e+00  4.334763820822429e-03 
 6.800000000000004e-01  6.842619701825257e-01  6.800000000000004e-01  1.532361970182526e+00  4.261970182525276e-03 
 6.900000000000004e-01  6.941919218722101e-01  6.900000000000004e-01  1.542291921872210e+00  4.191921872209736e-03 
 7.000000000000004e-01  7.041245822739477e-01  7.000000000000004e-01  1.552224582273948e+00  4.124582273947297e-03 
 7.100000000000004e-01  7.140598893709484e-01  7.100000000000004e-01  1.562159889370948e+00  4.059889370948033e-03 
 7.200000000000004e-01  7.239977636285553e-01  7.200000000000004e-01  1.572097763628555e+00  3.997763628554862e-03 
 7.300000000000004e-01  7.339381012153037e-01  7.300000000000004e-01  1.582038101215304e+00  3.938101215303247e-03 
 7.400000000000004e-01  7.438807768374294e-01  7.400000000000004e-01  1.591980776837429e+00  3.880776837428934e-03 
 7.500000000000004e-01  7.538256285202645e-01  7.500000000000004e-01  1.601925628520264e+00  3.825628520264024e-03 
 7.600000000000005e-01  7.637724627654656e-01  7.600000000000005e-01  1.611872462765465e+00  3.772462765465168e-03 
 7.700000000000005e-01  7.737210489159569e-01  7.700000000000005e-01  1.621821048915957e+00  3.721048915956482e-03 
 7.800000000000005e-01  7.836711298583401e-01  7.800000000000005e-01  1.631771129858340e+00  3.671129858339617e-03 
 7.900000000000005e-01  7.936224443225979e-01  7.900000000000005e-01  1.641722444322598e+00  3.622444322597396e-03 
 8.000000000000005e-01  8.035747454651514e-01  8.000000000000005e-01  1.651674745465151e+00  3.574745465150908e-03 
