 frequency              onoise_spectrum       
 3.097419299216498e-02  1.376177329545592e-03 
 3.104559588128273e-02  1.374491143117529e-03 
 3.111716337105934e-02  1.372807045820059e-03 
 3.118889584093853e-02  1.371125035040155e-03 
 3.126079367123871e-02  1.369445108168081e-03 
 3.133285724315501e-02  1.367767262597392e-03 
 3.140508693876132e-02  1.366091495724929e-03 
 3.147748314101231e-02  1.364417804950814e-03 
 3.155004623374541e-02  1.362746187678445e-03 
 3.162277660168293e-02  1.361076641314494e-03 
 3.169567463043405e-02  1.359409163268905e-03 
 3.176874070649684e-02  1.357743750954879e-03 
 3.184197521726037e-02  1.356080401788887e-03 
 3.191537855100673e-02  1.354419113190648e-03 
 3.198895109691310e-02  1.352759882583141e-03 
 3.206269324505377e-02  1.351102707392587e-03 
 3.213660538640228e-02  1.349447585048455e-03 
 3.221068791283345e-02  1.347794512983452e-03 
 3.228494121712545e-02  1.346143488633522e-03 
 3.235936569296192e-02  1.344494509437841e-03 
 3.243396173493402e-02  1.342847572838810e-03 
 3.250872973854253e-02  1.341202676282058e-03 
 3.258367010019997e-02  1.339559817216430e-03 
 3.265878321723267e-02  1.337918993093988e-03 
 3.273406948788290e-02  1.336280201370006e-03 
 3.280952931131098e-02  1.334643439502963e-03 
 3.288516308759738e-02  1.333008704954543e-03 
 3.296097121774484e-02  1.331375995189629e-03 
 3.303695410368054e-02  1.329745307676299e-03 
 3.311311214825817e-02  1.328116639885821e-03 
 3.318944575526010e-02  1.326489989292651e-03 
 3.326595532939951e-02  1.324865353374428e-03 
 3.334264127632255e-02  1.323242729611971e-03 
 3.341950400261048e-02  1.321622115489272e-03 
 3.349654391578182e-02  1.320003508493493e-03 
 3.357376142429451e-02  1.318386906114966e-03 
 3.365115693754811e-02  1.316772305847186e-03 
 3.372873086588592e-02  1.315159705186801e-03 
 3.380648362059719e-02  1.313549101633620e-03 
 3.388441561391928e-02  1.311940492690602e-03 
 3.396252725903986e-02  1.310333875863849e-03 
 3.404081897009910e-02  1.308729248662610e-03 
 3.411929116219186e-02  1.307126608599271e-03 
 3.419794425136989e-02  1.305525953189352e-03 
 3.427677865464403e-02  1.303927279951507e-03 
 3.435579478998645e-02  1.302330586407514e-03 
 3.443499307633283e-02  1.300735870082274e-03 
 3.451437393358461e-02  1.299143128503809e-03 
 3.459393778261117e-02  1.297552359203255e-03 
 3.467368504525213e-02  1.295963559714857e-03 
 3.475361614431954e-02  1.294376727575972e-03 
 3.483373150360013e-02  1.292791860327057e-03 
 3.491403154785756e-02  1.291208955511666e-03 
 3.499451670283468e-02  1.289628010676454e-03 
 3.507518739525575e-02  1.288049023371162e-03 
 3.515604405282875e-02  1.286471991148623e-03 
 3.523708710424765e-02  1.284896911564751e-03 
 3.531831697919463e-02  1.283323782178540e-03 
 3.539973410834240e-02  1.281752600552060e-03 
 3.548133892335648e-02  1.280183364250453e-03 
 3.556313185689746e-02  1.278616070841928e-03 
 3.564511334262335e-02  1.277050717897761e-03 
 3.572728381519181e-02  1.275487302992284e-03 
 3.580964371026252e-02  1.273925823702890e-03 
 3.589219346449943e-02  1.272366277610019e-03 
 3.597493351557314e-02  1.270808662297165e-03 
 3.605786430216314e-02  1.269252975350863e-03 
 3.614098626396023e-02  1.267699214360690e-03 
 3.622429984166876e-02  1.266147376919260e-03 
 3.630780547700903e-02  1.264597460622222e-03 
 3.639150361271960e-02  1.263049463068251e-03 
 3.647539469255966e-02  1.261503381859049e-03 
 3.655947916131137e-02  1.259959214599339e-03 
 3.664375746478220e-02  1.258416958896865e-03 
 3.672823004980734e-02  1.256876612362381e-03 
 3.681289736425201e-02  1.255338172609654e-03 
 3.689775985701390e-02  1.253801637255453e-03 
 3.698281797802548e-02  1.252267003919555e-03 
 3.706807217825646e-02  1.250734270224733e-03 
 3.715352290971611e-02  1.249203433796754e-03 
 3.723917062545570e-02  1.247674492264378e-03 
 3.732501577957090e-02  1.246147443259352e-03 
 3.741105882720418e-02  1.244622284416406e-03 
 3.749730022454719e-02  1.243099013373249e-03 
 3.758374042884325e-02  1.241577627770568e-03 
 3.767037989838971e-02  1.240058125252020e-03 
 3.775721909254043e-02  1.238540503464234e-03 
 3.784425847170815e-02  1.237024760056797e-03 
 3.793149849736701e-02  1.235510892682266e-03 
